"PlantID";"Genotype";"Treatment";"DAS";"Realtime";"side.geometry.vis.height.norm (mm)";"combined.geometry.vis.volume.iap.norm (voxel)"
"1116BA1141";"ZEA 16";"dry";27;27.4138290625;1015.58966074313;38101698.6816193
"1116BA1200";"Athletico";"wet";27;27.4146777662037;1138.40955065177;64402901.0251327
"1116BA1097";"Athletico";"dry";27;27.4155349768519;1003.95799676898;34912327.3961144
"1116BA1147";"ZEA 3361";"normal";27;27.4243459143519;861.10662358643;24893835.1876319
"1116BA1331";"ZEA 333";"dry";27;27.4249396296296;655.545869659072;13928154.6460688
"1116BA1344";"Athletico";"dry";27;27.4255687962963;1123.90953150242;56752760.3474546
"1116BA1039";"ZEA 3555";"normal";27;27.4264317824074;728.266487591221;24260118.6291282
"1116BA1119";"ZEA 323";"dry";27;27.4272718055556;800.10775862069;20886572.2047086
"1116BA1010";"Fernandez";"wet";27;27.4281140046296;1027.58481421648;41296904.7386765
"1116BA1151";"ZEA 384";"dry";27;27.428962349537;797.904641313365;36696617.4248847
"1116BA1161";"ZEA 1181";"normal";27;27.4298016435185;968.23692795666;50101650.2959755
"1116BA1350";"ZEA 3348";"normal";27;27.430645474537;1070.77641478887;49839058.0965002
"1116BA1390";"ZEA 701";"normal";27;27.4314947222222;943.982229402262;19648060.2399265
"1116BA1283";"Fernandez";"wet";27;27.4323360069444;1118.82067851373;57471964.6745787
"1116BA1136";"ZEA 1066";"normal";27;27.4331839930556;530.331179321486;6708453.31000004
"1116BA1281";"Fernandez";"normal";27;27.4340281712963;1069.38610662359;45273719.9294566
"1116BA1402";"ZEA 3606";"normal";27;27.4348730787037;1071.12462832851;34279651.7190441
"1116BA1224";"ZEA 710";"normal";27;27.4357179861111;798.071551550053;38053638.6389149
"1116BA1250";"ZEA 719";"wet";27;27.4365572916667;642.64943457189;32378275.8755805
"1116BA1187";"ZEA 3555";"normal";27;27.4374002083333;877.827140549273;43873603.018132
"1116BA1403";"ZEA 3240";"normal";27;27.4382480092593;655.907988238817;21861357.3739715
"1116BA1246";"ZEA 249";"dry";27;27.4390931018519;678.27140549273;16711797.2893473
"1116BA1269";"ZEA 1066";"dry";27;27.4399412615741;488.296047225781;6850281.06231607
"1116BA1066";"ZEA 710";"dry";27;27.4407829166667;884.369951534733;32874894.438883
"1116BA1057";"ZEA 701";"dry";27;27.4416261921296;809.168123757557;24640436.5371709
"1116BA1235";"ZEA 1066";"wet";27;27.4424658564815;617.205169628433;9940743.62276561
"1116BA1123";"ZEA 3555";"dry";27;27.4433080555556;828.029079159935;32735449.8425823
"1116BA1031";"ZEA 1181";"dry";27;27.444151875;957.067851373183;25094655.3275667
"1116BA1214";"Fernandez";"dry";27;27.4450009375;943.982229402262;38027205.1154036
"1116BA1353";"ZEA 3434";"dry";27;27.4458451273148;638.651050080775;17427321.7353855
"1116BA1069";"ZEA 3";"dry";27;27.4466927430556;808.400646203554;15074532.22232
"1116BA1253";"ZEA 3548";"normal";27;27.4475362037037;863.287560581583;28411064.5138837
"1116BA1040";"ZEA 701";"normal";27;27.4483838194444;924.717285945073;14453361.3486635
"1116BA1356";"ZEA 1008";"normal";27;27.4492267476852;569.951534733441;27697500.2328937
"1116BA1008";"ZEA 3";"wet";27;27.4500687615741;783.683360258481;15275291.4703354
"1116BA1003";"ZEA 249";"wet";27;27.4509134837963;747.170291696841;25046334.6656794
"1116BA1247";"ZEA 3303";"wet";28;28.2368430208333;889.822294022617;29143076.27266
"1116BA1212";"ZEA 710";"dry";28;28.2374953356481;900.363489499192;42154642.4018682
"1116BA1189";"ZEA 384";"normal";28;28.238130462963;918.537964458804;42005697.2695062
"1116BA1188";"Athletico";"wet";28;28.238981875;965.428109854604;54625453.300417
"1116BA1132";"ZEA 701";"wet";28;28.2398325694444;621.56704361874;18594294.0805842
"1116BA1168";"ZEA 3434";"normal";28;28.2406888773148;788.408723747981;34615898.3431836
"1116BA1211";"Athletico";"wet";28;28.2415382986111;951.615508885299;40201902.6673443
"1116BA1338";"ZEA 3426";"dry";28;28.2432398726852;1111.91437802908;43823885.6124183
"1116BA1190";"ZEA 249";"normal";28;28.2440896643519;698.626817447496;16144526.0956796
"1116BA1317";"ZEA 472";"dry";28;28.2449419791667;836.400851781692;39890729.2407468
"1116BA1182";"ZEA 3548";"normal";28;28.2457977430556;1342.73021001616;30268563.5790837
"1116BA1160";"ZEA 249";"normal";28;28.2466487962963;790.441601442817;21991549.1596462
"1116BA1144";"ZEA 472";"dry";28;28.2475036574074;880.735056542811;27133873.3270827
"1116BA1150";"ZEA 852";"wet";28;28.2483518171296;705.533117932149;12511758.1301635
"1116BA1143";"Fernandez";"dry";28;28.2492019675926;1045.67820908306;48578339.6628762
"1116BA1162";"ZEA 3303";"normal";28;28.25005375;938.166397415186;28278642.3980462
"1116BA1270";"Fernandez";"normal";28;28.2509037152778;1090.83198707593;48454286.9564166
"1116BA1155";"ZEA 719";"dry";28;28.2517547685185;931.260096930533;42290807.589134
"1116BA1181";"ZEA 3434";"normal";28;28.2526103472222;775.890689658151;30765225.3526946
"1116BA1145";"Fernandez";"dry";28;28.2534581481481;1089.37802907916;57240414.1134751
"1116BA1407";"ZEA 3303";"normal";28;28.2543099305556;930.785954647373;28593909.1125708
"1116BA1101";"ZEA 3338";"dry";28;28.2551570138889;758.239095315024;34129123.0176152
"1116BA1047";"Fernandez";"normal";28;28.2568618287037;1098.3933912108;44203081.4713768
"1116BA1113";"ZEA 3606";"dry";28;28.2577105439815;943.72986048194;40260763.7181358
"1116BA1094";"ZEA 3528";"dry";28;28.2585650347222;995.234248788368;31460697.2180712
"1116BA1077";"Fernandez";"wet";28;28.2594124652778;1032.59787494429;53738757.9537604
"1116BA1103";"ZEA 1181";"wet";28;28.2602593634259;1270.00685024511;52251980.3244792
"1116BA1284";"Athletico";"dry";28;28.2611136805556;807.67366720517;29757091.4734628
"1116BA1265";"Athletico";"normal";28;28.261963287037;1202.75267568659;48287662.4231476
"1116BA1110";"Athletico";"normal";28;28.2628172337963;1021.04200323102;48274373.5562845
"1116BA1107";"ZEA 1066";"dry";28;28.2636628703704;694.088486539747;19981231.7460615
"1116BA1336";"ZEA 3606";"dry";28;28.2727895717593;854.200323101777;42840703.0206649
"1116BA1334";"ZEA 16";"dry";28;28.2733811111111;719.345718901454;34815884.0876559
"1116BA1156";"ZEA 712";"dry";28;28.2740131597222;1105.23976293103;37297691.0453709
"1116BA1032";"ZEA 3548";"dry";28;28.2748591550926;839.43087221829;30500779.5190534
"1116BA1163";"ZEA 323";"normal";28;28.2757053356481;820.395799676898;27374580.0487868
"1116BA1033";"Fernandez";"normal";28;28.276554212963;1125.66528762325;50255786.978183
"1116BA1230";"Fernandez";"normal";28;28.2774056365741;997.05169628433;42761725.1026948
"1116BA1408";"ZEA 3303";"dry";28;28.278252349537;795.379849137931;30957405.5797202
"1116BA1043";"ZEA 710";"normal";28;28.279103587963;742.410673140295;36368743.6575349
"1116BA1073";"Athletico";"normal";28;28.279949212963;1037.11555583766;49675176.984869
"1116BA1406";"ZEA 3572";"dry";28;28.2807952083333;870.92084006462;17931489.9934992
"1116BA1170";"ZEA 3572";"normal";28;28.2816448148148;801.345111344772;30867027.734553
"1116BA1279";"Athletico";"dry";28;28.2824956944444;1031.94668820678;54592300.1856743
"1116BA1024";"ZEA 3434";"dry";28;28.2833445833333;815.287566281035;31401244.842979
"1116BA1195";"ZEA 3528";"normal";28;28.2841916550926;974.51534733441;39691638.3471836
"1116BA1174";"Athletico";"wet";28;28.2850356597222;1214.01987093337;51769656.3685963
"1116BA1133";"ZEA 3528";"dry";28;28.2858852662037;1327.10016155089;46508469.5594686
"1116BA1044";"ZEA 3426";"wet";28;28.2875792476852;1131.90630048465;41113614.7544673
"1116BA1229";"ZEA 3554";"dry";28;28.288432650463;809.491114701131;20272535.6736584
"1116BA1216";"ZEA 712";"normal";28;28.2892768402778;834.208400646203;36267843.7482179
"1116BA1116";"Fernandez";"normal";28;28.2901259027778;1090.90613267345;67054864.1480918
"1116BA1091";"Fernandez";"dry";28;28.290970625;1113.73182552504;58510011.7561518
"1116BA1074";"ZEA 3606";"wet";28;28.291817349537;895.445865461267;59062021.3210341
"1116BA1122";"ZEA 3528";"normal";28;28.2926655092593;1156.62358642973;31575553.0248168
"1116BA1062";"ZEA 3425";"normal";28;28.2935145717593;1438.32794830372;44673489.5200759
"1116BA1114";"ZEA 3338";"normal";28;28.2943621990741;856.38126009693;20378885.3635905
"1116BA1041";"ZEA 3548";"dry";28;28.295207650463;881.462035541196;21835477.3422278
"1116BA1252";"ZEA 3361";"dry";28;28.2960520138889;918.449036144685;23410123.6852373
"1116BA1259";"ZEA 3240";"normal";28;28.2969178935185;855.74996693782;41229965.3099168
"1116BA1213";"ZEA 3651";"wet";28;28.297761712963;898.546042003231;43719964.0261609
"1116BA1251";"Athletico";"dry";28;28.2986062615741;949.798061389338;52277706.7548607
"1116BA1226";"ZEA 3361";"dry";28;28.299456412037;975.969305331179;32913666.3038564
"1116BA1192";"ZEA 333";"normal";28;28.3084955902778;935.258481421648;25613637.1859281
"1116BA1118";"ZEA 3327";"normal";28;28.309082974537;777.867528271405;25928752.3400741
"1116BA1254";"ZEA 3240";"dry";28;28.3097126736111;974.51534733441;31658218.3201408
"1116BA1138";"ZEA 3426";"normal";28;28.3105659027778;1270.03231017771;55968827.3353627
"1116BA1140";"ZEA 3361";"normal";28;28.3114122569444;736.793214862682;21874622.9687089
"1116BA1115";"Athletico";"normal";28;28.3122587847222;1038.48949919225;49601175.7855863
"1116BA1197";"ZEA 1008";"normal";28;28.3131076736111;1248.22294022617;31025091.4841725
"1116BA1076";"ZEA 384";"wet";28;28.3139538425926;902.180936995153;36566397.3309651
"1116BA1231";"Athletico";"normal";28;28.3148029166667;1084.28917609047;42830634.8136729
"1116BA1102";"ZEA 3425";"normal";28;28.3156479976852;1130.45234248788;41810397.1107611
"1116BA1028";"Athletico";"dry";28;28.3164985185185;1170.07269789984;36727671.5418563
"1116BA1037";"ZEA 1129";"dry";28;28.3173472222222;976.332794830372;67862797.4154106
"1116BA1137";"ZEA 1181";"normal";28;28.3181923148148;1296.56704361874;44582238.3945181
"1116BA1309";"ZEA 16";"wet";28;28.3190401157407;863.651050080775;28235888.2924068
"1116BA1275";"Fernandez";"normal";28;28.3198842939815;1063.20678513732;55386315.5272692
"1116BA1262";"ZEA 668";"wet";28;28.3207319097222;918.174474959612;42433803.1873283
"1116BA1285";"Athletico";"wet";28;28.3224269791667;1059.93537964459;43678854.1246823
"1116BA1304";"ZEA 3425";"dry";28;28.3232780324074;1133.36025848142;46834105.7766921
"1116BA1396";"Fernandez";"normal";28;28.3241216666667;1178.43295638126;58728786.7162446
"1116BA1215";"Fernandez";"dry";28;28.324967662037;1110.8239095315;58989707.9688087
"1116BA1194";"ZEA 3554";"normal";28;28.3258161921296;781.502423263328;19664002.6486075
"1116BA1020";"ZEA 1066";"normal";28;28.32665875;721.8901453958;37336584.6182168
"1116BA1021";"Fernandez";"dry";28;28.3275056365741;1055.57350565428;49864089.2675567
"1116BA1092";"Fernandez";"dry";28;28.3283529050926;1169.34571890145;56337541.7702795
"1116BA1393";"ZEA 3554";"wet";28;28.3291963657407;991.235864297254;29951266.5780293
"1116BA1022";"ZEA 3327";"dry";28;28.3300436226852;1027.58481421648;28800631.9556718
"1116BA1025";"ZEA 1008";"wet";28;28.3308887037037;708.077544426494;44309614.9078589
"1116BA1117";"Athletico";"normal";28;28.3325662268519;1236.22778675283;57808442.9611787
"1116BA1090";"ZEA 3651";"dry";28;28.3334067939815;1041.03392568659;35713186.4509233
"1116BA1120";"Fernandez";"wet";28;28.3340379398148;984.693053311793;39792518.2180166
"1116BA1394";"ZEA 249";"dry";28;28.3348871875;757.148626817448;34351072.3334372
"1116BA1395";"Fernandez";"normal";28;28.3439223842593;1057.75444264943;49689970.7968614
"1116BA1134";"ZEA 3572";"wet";28;28.3445081365741;858.198707592892;19463982.3783385
"1116BA1370";"Fernandez";"dry";28;28.3451327777778;1140.99353796446;67693776.2559829
"1116BA1366";"Athletico";"wet";28;28.3459807523148;1024.31340872375;48207032.8223951
"1116BA1315";"ZEA 3548";"wet";28;28.3476571875;1222.05169628433;40633665.0765755
"1116BA1323";"ZEA 472";"normal";28;28.3485008333333;1067.93214862682;47209396.7602699
"1116BA1202";"ZEA 3555";"dry";28;28.3491350578704;1089.74151857835;40240473.0265507
"1116BA1042";"Fernandez";"dry";28;28.3499768865741;1083.19870759289;46729436.4264121
"1116BA1172";"ZEA 3651";"dry";28;28.3516665162037;1071.84414586035;55805444.7710718
"1116BA1049";"ZEA 668";"normal";28;28.3525125115741;794.570494775597;28422861.9165412
